subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.8717948717948718,0.012087295404898205,0.9027134337089088,0.010994794097922093,0.8181818181818182,0.0,0.1420326613896931,0.004961197840224847,0.08333333333333333,0.11785113019775792,0.9592592592592593,0.005237828008789222,0.9555555555555556,0.0,0.9555555555555556,0.0
ce,target_only,3,0.8717948717948718,0.012087295404898205,0.9037614597569349,0.010913077214415373,0.8181818181818182,0.0,0.14239615484139603,0.005448680381094606,0.0,0.0,,,0.9555555555555556,0.0,,
ce,verifier_only,3,0.8945868945868947,0.010659992554911527,0.9103822961854636,0.01137460466350058,0.8333333333333334,0.02142747821777415,0.1384905573974213,0.014862496966769822,1.0,0.0,,,,,0.9555555555555556,0.0
ie,cross_model_fused,3,0.7533333333333334,0.011863420280034774,0.6493189208560946,0.04206955950898709,0.6857142857142856,0.04665694748158436,0.20351288544916257,0.005807929251172838,0.016666666666666666,0.023570226039551587,0.8854166666666666,0.011717273622041396,0.8839285714285715,0.013142501289178347,0.8273809523809524,0.009173235123465753
ie,target_only,3,0.7533333333333334,0.011863420280034774,0.6493189208560946,0.04206955950898709,0.6857142857142856,0.04665694748158436,0.2035891703095506,0.005788613633292132,0.0,0.0,,,0.8839285714285715,0.013142501289178347,,
ie,verifier_only,3,0.7444444444444445,0.02572408200620053,0.6530068092518339,0.03533077614054327,0.6666666666666666,0.02693740118805896,0.21718559538017038,0.007161292646808853,1.0,0.0,,,,,0.8273809523809524,0.009173235123465753
