subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.8974358974358975,0.0,0.9740861702400162,1.1102230246251565e-16,0.9375,0.0,0.08510662658585975,0.003957874170961773,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ce,target_only,3,0.8974358974358975,0.0,0.9740861702400162,1.1102230246251565e-16,0.9375,0.0,0.08510662658585975,0.003957874170961773,0.0,0.0,,,1.0,0.0,,
ce,verifier_only,3,0.9487179487179488,0.03626188621469472,0.9876192183884491,0.008754534633917335,0.9375,0.0,0.06337672197685991,0.006365531917967752,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,0.9127450980392157,0.021790304677345974,0.8836136187247295,0.03416180034009341,0.8288288288288288,0.012740662724081912,0.12875026730050057,0.009327175050953528,0.9,0.10801234497346433,0.8166666666666668,0.014829275350043487,0.6944444444444445,0.017123372230469367,0.8152777777777779,0.012880025688188483
ie,target_only,3,0.8343137254901961,0.013226213297286321,0.7891460075492983,0.008543497811737771,0.7747747747747749,0.025481325448163877,0.17806658361958738,0.004474271893208128,0.0,0.0,,,0.6944444444444445,0.017123372230469367,,
ie,verifier_only,3,0.9156862745098039,0.015989712186568698,0.890860994285808,0.01998320660903024,0.8288288288288288,0.012740662724081912,0.12746242380389883,0.008451732642970883,1.0,0.0,,,,,0.8152777777777779,0.012880025688188483
