subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.9351851851851851,0.013094570021973107,0.9311507936507937,0.017677669529663678,0.9166666666666666,0.0,0.07518291938814486,0.0020093239447489986,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ce,target_only,3,0.9351851851851851,0.013094570021973107,0.9311507936507937,0.017677669529663678,0.9166666666666666,0.0,0.07518291938814486,0.0020093239447489986,0.0,0.0,,,1.0,0.0,,
ce,verifier_only,3,0.9722222222222222,0.0,0.9742063492063492,0.0,0.9166666666666666,0.0,0.07092678740171893,0.00446483142407193,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,0.9072978303747533,0.03393422196072041,0.8996758864167771,0.021003429633881365,0.8589743589743589,0.047969966497101835,0.1331091855831045,0.02849351417286826,0.7333333333333334,0.16499158227686112,0.941358024691358,0.011548325267820809,0.8888888888888888,0.0075601535271085625,0.9382716049382717,0.011548325267820809
ie,target_only,3,0.8934911242603549,0.012782526032362658,0.894182086513594,0.01519716834832392,0.7692307692307693,0.0,0.13947083760069848,0.007542372447507857,0.0,0.0,,,0.8888888888888888,0.0075601535271085625,,
ie,verifier_only,3,0.8974358974358974,0.03427642445164253,0.8663762912750766,0.018997124864134886,0.8333333333333334,0.06537204504606135,0.13977269534716455,0.03489747916145703,1.0,0.0,,,,,0.9382716049382717,0.011548325267820809
