subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.923076923076923,0.03626188621469472,0.9825083036621498,0.007950928730624628,0.875,0.0,0.07978626438451655,0.006193370596104898,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ce,target_only,3,0.923076923076923,0.03626188621469472,0.9825083036621498,0.007950928730624628,0.875,0.0,0.07978626438451655,0.006193370596104898,0.0,0.0,,,1.0,0.0,,
ce,verifier_only,3,0.9487179487179488,0.03626188621469472,0.9876192183884491,0.008754534633917335,0.9375,0.0,0.06337672197685991,0.006365531917967752,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,0.9068627450980392,0.014673166222642905,0.8868175101522854,0.020153941720567437,0.8558558558558559,0.012740662724081964,0.13252224495716505,0.012683347705232594,0.6666666666666666,0.09428090415820632,0.8361111111111111,0.01093612204723864,0.7666666666666666,0.005892556509887928,0.8152777777777779,0.012880025688188483
ie,target_only,3,0.842156862745098,0.024174172560662656,0.8020642556629508,0.02654178885137727,0.7477477477477478,0.033708625106071526,0.16595837752946815,0.018004675096189658,0.0,0.0,,,0.7666666666666666,0.005892556509887928,,
ie,verifier_only,3,0.9156862745098039,0.015989712186568698,0.890860994285808,0.01998320660903024,0.8288288288288288,0.012740662724081912,0.12746242380389883,0.008451732642970883,1.0,0.0,,,,,0.8152777777777779,0.012880025688188483
