subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.9404761904761906,0.01751280103562474,0.8792260008121353,0.07854484053577013,0.9111111111111111,0.01571348402636772,0.09689024518512385,0.01246300408259531,0.25,0.0,1.0,0.0,0.9694444444444444,0.01039349274103869,1.0,0.0
ce,target_only,3,0.9419642857142857,0.015571763047958608,0.8806257914976402,0.07660229879308149,0.9111111111111111,0.01571348402636772,0.09194289177205646,0.010951312081646115,0.0,0.0,,,0.9694444444444444,0.01039349274103869,,
ce,verifier_only,3,0.8839285714285715,0.004821979686315338,0.7227237730925619,0.0311495278730748,0.7888888888888889,0.056655772373253185,0.18723618465740355,0.04082161326864902,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,0.4380952380952381,0.026937401188058936,0.6058489658489659,0.006528578482383751,0.6111111111111112,0.03928371006591927,0.2755343630955647,0.01024003530060017,0.8166666666666668,0.11785113019775792,0.8299319727891156,0.025453451610707074,0.7687074829931971,0.009620500424306781,0.8299319727891156,0.025453451610707074
ie,target_only,3,0.4761904761904761,0.026937401188058936,0.5177272727272727,0.09486701162873627,0.4166666666666667,0.06804138174397717,0.27490175444941617,0.006457354988103744,0.0,0.0,,,0.7687074829931971,0.009620500424306781,,
ie,verifier_only,3,0.44761904761904764,0.0356348322549899,0.6092219817219817,0.00982441878126003,0.6388888888888888,0.03928371006591927,0.2858461041716874,0.012180487601460644,1.0,0.0,,,,,0.8299319727891156,0.025453451610707074
