subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.8717948717948718,0.012087295404898205,0.9037614597569349,0.010913077214415373,0.8181818181818182,0.0,0.14239615484139603,0.005448680381094606,0.0,0.0,0.9555555555555556,0.0,0.9555555555555556,0.0,0.9333333333333332,1.1102230246251565e-16
ce,target_only,3,0.8717948717948718,0.012087295404898205,0.9037614597569349,0.010913077214415373,0.8181818181818182,0.0,0.14239615484139603,0.005448680381094606,0.0,0.0,,,0.9555555555555556,0.0,,
ce,verifier_only,3,0.8660968660968661,0.004029098468299402,0.8619297013527784,0.00828715262031132,0.8636363636363636,0.0,0.14093848594449196,0.0028658768548028048,1.0,0.0,,,,,0.9333333333333332,1.1102230246251565e-16
ie,cross_model_fused,3,0.7533333333333334,0.011863420280034774,0.6490722040652601,0.04232307530666508,0.6857142857142856,0.04665694748158436,0.20374113227124946,0.005755971963037221,0.016666666666666666,0.023570226039551587,0.8869047619047619,0.010522422339085544,0.8839285714285715,0.013142501289178347,0.8214285714285715,0.007290148043997574
ie,target_only,3,0.7533333333333334,0.011863420280034774,0.6493189208560946,0.04206955950898709,0.6857142857142856,0.04665694748158436,0.2035891703095506,0.005788613633292132,0.0,0.0,,,0.8839285714285715,0.013142501289178347,,
ie,verifier_only,3,0.7133333333333334,0.012472191289246483,0.624694183980933,0.018459367484369396,0.5904761904761905,0.01346870059402948,0.2614526798088244,0.007062280730643482,1.0,0.0,,,,,0.8214285714285715,0.007290148043997574
