subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,1.0,0.0,1.0,0.0,0.9523809523809522,1.1102230246251565e-16,0.05196984693100629,0.003096739678777956,0.5,0.04082482904638631,1.0,0.0,0.9393939393939394,0.0,1.0,0.0
ce,target_only,3,0.9407407407407407,0.005237828008789223,0.8927859948693282,0.004451293584710978,0.7619047619047619,0.038880789567986955,0.15833641565557566,0.056621427291853224,0.0,0.0,,,0.9393939393939394,0.0,,
ce,verifier_only,3,1.0,0.0,1.0,0.0,1.0,0.0,0.010043612397940034,0.006048505972698287,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,0.9259259259259259,0.06928995160692482,0.9717261904761904,0.02416171941785554,0.7407407407407408,0.05237828008789243,0.21613806238017372,0.0217990595212401,0.2833333333333334,0.40069384267237695,0.8333333333333334,0.0,0.8240740740740741,0.013094570021973107,0.8148148148148149,0.026189140043946214
ie,target_only,3,0.9074074074074074,0.05237828008789238,0.9631283068783069,0.015666717704860673,0.7037037037037037,0.05237828008789243,0.2136615181505733,0.02048976182079667,0.0,0.0,,,0.8240740740740741,0.013094570021973107,,
ie,verifier_only,3,0.9814814814814815,0.026189140043946214,0.9914021164021164,0.012159243591832175,0.7037037037037037,0.05237828008789243,0.21459981063519898,0.013016779859130518,1.0,0.0,,,,,0.8148148148148149,0.026189140043946214
