subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.9537037037037036,0.013094570021973107,0.9538359788359788,0.014404027024170414,0.9166666666666666,0.0,0.0771822768938719,0.00674813731617143,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ce,target_only,3,0.9537037037037036,0.013094570021973107,0.9538359788359788,0.014404027024170414,0.9166666666666666,0.0,0.0771822768938719,0.00674813731617143,0.0,0.0,,,1.0,0.0,,
ce,verifier_only,3,0.9722222222222222,0.0,0.9742063492063492,0.0,0.9166666666666666,0.0,0.07092678740171893,0.00446483142407193,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,0.8856015779092702,0.029121938974819347,0.7981801599210505,0.031277160447277665,0.8333333333333334,0.06537204504606135,0.14035730666757962,0.033753102624119034,0.9166666666666666,0.062360956446232324,0.9382716049382717,0.011548325267820809,0.7530864197530865,0.054691497366263435,0.9382716049382717,0.011548325267820809
ie,target_only,3,0.7988165680473372,0.030171713098182174,0.6867436601286924,0.030048646977836956,0.7435897435897436,0.018130943107347412,0.17725688331073963,0.009109536993203026,0.0,0.0,,,0.7530864197530865,0.054691497366263435,,
ie,verifier_only,3,0.8974358974358974,0.03427642445164253,0.8663762912750766,0.018997124864134886,0.8333333333333334,0.06537204504606135,0.13977269534716455,0.03489747916145703,1.0,0.0,,,,,0.9382716049382717,0.011548325267820809
