subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.9464285714285715,0.007290148043997574,0.9241877850596337,0.019413817518402474,0.9111111111111111,0.01571348402636772,0.09120309992624455,0.00490939377092262,0.5333333333333333,0.15456030825826172,0.9666666666666667,0.006804138174397693,0.85,0.01178511301977575,0.9666666666666667,0.006804138174397693
ce,target_only,3,0.9464285714285715,0.012626906806902642,0.9212703340854601,0.020910912193856438,0.9111111111111111,0.01571348402636772,0.089788989654201,0.009155845678325532,0.0,0.0,,,0.85,0.01178511301977575,,
ce,verifier_only,3,0.9241071428571429,0.013142501289178347,0.8851478016573661,0.020085898784528936,0.8777777777777778,0.03142696805273544,0.10570727386937519,0.01161785104399373,1.0,0.0,,,,,0.9666666666666667,0.006804138174397693
ie,cross_model_fused,3,0.4666666666666666,0.01346870059402948,0.6122763347763348,0.003647773077549637,0.5,0.0,0.3692350187144707,0.02363951792498114,0.9333333333333332,0.04714045207910316,0.9115646258503401,0.009620500424306781,0.7414965986394558,0.009620500424306727,0.9115646258503401,0.009620500424306781
ie,target_only,3,0.6571428571428571,0.0,0.686388888888889,1.1102230246251565e-16,0.6666666666666666,0.0,0.24225083535150993,0.007419776493630715,0.0,0.0,,,0.7414965986394558,0.009620500424306727,,
ie,verifier_only,3,0.4666666666666666,0.01346870059402948,0.6122763347763348,0.003647773077549637,0.5,0.0,0.38301751312055443,0.022415973340614757,1.0,0.0,,,,,0.9115646258503401,0.009620500424306781
