subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.8774928774928775,0.008058196936598804,0.8790730281114897,0.012169837515671503,0.8333333333333334,0.02142747821777415,0.13920998625803757,0.008573503189066772,0.03333333333333333,0.047140452079103175,0.9629629629629629,0.005237828008789223,0.9592592592592593,0.005237828008789222,0.9407407407407407,0.005237828008789222
ce,target_only,3,0.8803418803418803,0.012087295404898257,0.8809482896021358,0.013662329436144904,0.8333333333333334,0.02142747821777415,0.13874180917254927,0.009008554928787263,0.0,0.0,,,0.9592592592592593,0.005237828008789222,,
ce,verifier_only,3,0.8575498575498576,0.008058196936598854,0.8728322781207397,0.009051971256654976,0.8181818181818182,0.0,0.14643631958178582,0.006085016581791554,1.0,0.0,,,,,0.9407407407407407,0.005237828008789222
ie,cross_model_fused,3,0.7822222222222223,0.0062853936105470775,0.6190023356740277,0.018752164721737206,0.7333333333333334,0.01346870059402948,0.19101251891912452,0.002908548722594655,0.20000000000000004,0.14719601443879746,0.8556547619047619,0.014731391274719736,0.8526785714285715,0.0145802960879951,0.7931547619047619,0.009173235123465748
ie,target_only,3,0.7933333333333333,0.01440164599646192,0.6634951728173503,0.05105522785497042,0.7333333333333334,0.01346870059402948,0.18999167350989565,0.003220731344281565,0.0,0.0,,,0.8526785714285715,0.0145802960879951,,
ie,verifier_only,3,0.7077777777777778,0.03446236093171291,0.5917068460127467,0.038871643403239314,0.5904761904761905,0.02693740118805896,0.22941885066440962,0.015472524917683339,1.0,0.0,,,,,0.7931547619047619,0.009173235123465748
