subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.8463541666666666,0.01327869664998121,0.9228673053666849,0.009729277455906115,0.7361111111111112,0.019641855032959635,0.18104973765896157,0.004670716150698998,0.05000000000000001,0.07071067811865477,0.8363636363636363,0.0,0.8333333333333334,0.004285495643554809,0.8121212121212121,0.00857099128710967
ce,target_only,3,0.84375,0.01275775907699572,0.9217669172947894,0.00906558169247996,0.7361111111111112,0.019641855032959635,0.18167481717430187,0.004112254581090443,0.0,0.0,,,0.8333333333333334,0.004285495643554809,,
ce,verifier_only,3,0.8776041666666666,0.00736569563735987,0.9424732047074599,0.005922316896301493,0.7916666666666666,0.0,0.1879410832566338,0.022721456748466286,1.0,0.0,,,,,0.8121212121212121,0.00857099128710967
ie,cross_model_fused,3,0.7725490196078431,0.015439231125513353,0.6878555241055241,0.03157473127624405,0.7160493827160493,0.01745942669596411,0.19335398286070804,0.014364372408313692,0.5666666666666667,0.26246692913372704,0.9320987654320988,0.01745942669596411,0.8209876543209876,0.008729713347982107,0.9259259259259259,0.015120307054217125
ie,target_only,3,0.7666666666666666,0.032692807844182464,0.6776401920519567,0.07525239667154929,0.7530864197530863,0.01745942669596416,0.1993892724827404,0.018331319403014884,0.0,0.0,,,0.8209876543209876,0.008729713347982107,,
ie,verifier_only,3,0.7686274509803921,0.007336583111321477,0.6751630175380176,0.03415649814583817,0.7037037037037037,0.0,0.20997205495692742,0.005028955876221489,1.0,0.0,,,,,0.9259259259259259,0.015120307054217125
