subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.8774928774928775,0.03146826500623149,0.9024449166134687,0.01783230247812876,0.8181818181818182,0.0,0.13677845007666792,0.011493115499462721,0.0,0.0,0.9629629629629629,0.005237828008789222,0.9629629629629629,0.005237828008789222,0.9407407407407407,0.005237828008789222
ce,target_only,3,0.8774928774928775,0.03146826500623149,0.9024449166134687,0.01783230247812876,0.8181818181818182,0.0,0.13677845007666792,0.011493115499462721,0.0,0.0,,,0.9629629629629629,0.005237828008789222,,
ce,verifier_only,3,0.8575498575498576,0.008058196936598854,0.8728322781207397,0.009051971256654976,0.8181818181818182,0.0,0.14643631958178582,0.006085016581791554,1.0,0.0,,,,,0.9407407407407407,0.005237828008789222
ie,cross_model_fused,3,0.8411111111111111,0.01812167381144457,0.8236754232159177,0.027440773769344663,0.7238095238095239,0.01346870059402948,0.20824087216268403,0.011319408319809597,0.016666666666666666,0.023570226039551587,0.9895833333333334,0.002104484467817098,0.9880952380952381,0.002104484467817098,0.7931547619047619,0.009173235123465748
ie,target_only,3,0.84,0.018856180831641284,0.828858113132907,0.022598194954598985,0.7238095238095239,0.01346870059402948,0.20958241828574256,0.010442471177611743,0.0,0.0,,,0.9880952380952381,0.002104484467817098,,
ie,verifier_only,3,0.7077777777777778,0.03446236093171291,0.5917068460127467,0.038871643403239314,0.5904761904761905,0.02693740118805896,0.22941885066440962,0.015472524917683339,1.0,0.0,,,,,0.7931547619047619,0.009173235123465748
