subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.875,0.011048543456039806,0.9415397538417335,0.0072424157704207015,0.8055555555555555,0.01964185503295969,0.1874168302964788,0.0231173180249114,0.9666666666666667,0.04714045207910316,0.8151515151515153,0.004285495643554862,0.796969696969697,0.00857099128710967,0.8121212121212121,0.00857099128710967
ce,target_only,3,0.8515625,0.00637887953849786,0.927052577052577,0.005905281142016765,0.8333333333333334,0.0,0.17359108198267684,0.013167857154322416,0.0,0.0,,,0.796969696969697,0.00857099128710967,,
ce,verifier_only,3,0.8776041666666666,0.00736569563735987,0.9424732047074599,0.005922316896301493,0.7916666666666666,0.0,0.1879410832566338,0.022721456748466286,1.0,0.0,,,,,0.8121212121212121,0.00857099128710967
ie,cross_model_fused,3,0.7862745098039216,0.012087086280331324,0.7233626327376327,0.017160896201197918,0.7037037037037037,0.0,0.1939649572877117,0.0035654760181580043,0.55,0.10801234497346433,0.9506172839506174,0.008729713347982055,0.8333333333333334,0.01512030705421717,0.9259259259259259,0.015120307054217125
ie,target_only,3,0.788235294117647,0.017317178169270316,0.7225596282565592,0.030936484992015796,0.7037037037037037,0.0302406141084343,0.20862103801008622,0.017343063178542062,0.0,0.0,,,0.8333333333333334,0.01512030705421717,,
ie,verifier_only,3,0.7686274509803921,0.007336583111321477,0.6751630175380176,0.03415649814583817,0.7037037037037037,0.0,0.20997205495692742,0.005028955876221489,1.0,0.0,,,,,0.9259259259259259,0.015120307054217125
