track,family,version_index,release_date,model,source_dataset,protocol_group,n_rows,n_questions,accuracy,ce_rate,ie_rate,accuracy_pct,ce_rate_pct,ie_rate_pct,threshold
grok_version,grok,1,2025-06-10,"Grok 3 (xAI, 2025-06-10)",new_equiv_only_20260319,new_family_rerun,807,807,0.5675340768277571,0.19578686493184635,0.1982651796778191,56.753407682775716,19.578686493184634,19.82651796778191,0.9
grok_version,grok,2,2025-07-09,Grok 4 (xAI),existing_4842_hybrid,existing_latest_endpoint,807,807,0.5712515489467163,0.13135068153655513,0.265179677819083,57.125154894671624,13.135068153655514,26.517967781908304,0.9
grok_version,grok,3,2025-11-19,"Grok 4.1 Fast Reasoning (xAI, 2025-11-19)",new_equiv_only_20260319,new_family_rerun,807,807,0.7125154894671624,0.080545229244114,0.16852540272614622,71.25154894671624,8.054522924411401,16.852540272614622,0.9
grok_version,grok,4,2026-03-09,"Grok 4.20 Beta 0309 Reasoning (xAI, 2026-03-09)",new_equiv_only_20260319,new_family_rerun,807,807,0.7967781908302355,0.0161090458488228,0.1536555142503098,79.67781908302355,1.6109045848822798,15.36555142503098,0.9
llama_scale_version,llama,1,2024-04-18,"Llama 3 8B Instruct (OpenRouter, 2024-04-18)",new_equiv_only_20260319,new_family_rerun,807,807,0.38661710037174724,0.14002478314745972,0.4138785625774473,38.66171003717472,14.002478314745973,41.38785625774473,0.9
llama_scale_version,llama,2,2024-07-23,"Llama 3.1 8B Instruct (OpenRouter, 2024-07-23)",new_equiv_only_20260319,new_family_rerun,807,807,0.43742255266418834,0.10408921933085502,0.37794299876084264,43.74225526641883,10.408921933085502,37.79429987608427,0.9
llama_scale_version,llama,3,2024-12-06,"Llama 3.3 70B Instruct (OpenRouter, 2024-12-06)",new_equiv_only_20260319,new_family_rerun,807,807,0.5229244114002478,0.20693928128872366,0.20446096654275092,52.29244114002478,20.693928128872365,20.44609665427509,0.9
llama_scale_version,llama,4,2025-04-05,Llama 4 Maverick 17B (Groq),existing_4842_hybrid,existing_latest_endpoint,807,807,0.5241635687732342,0.18339529120198264,0.22676579925650558,52.41635687732342,18.339529120198264,22.676579925650557,0.9
qwen_scale_version,qwen,1,2024-09-16,"Qwen2.5 7B Instruct (OpenRouter, 2024-09-16)",new_equiv_only_20260319,new_family_rerun,807,807,0.45848822800495664,0.16852540272614622,0.31722428748451054,45.84882280049566,16.852540272614622,31.722428748451055,0.9
qwen_scale_version,qwen,2,2024-11-26,"Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)",new_equiv_only_20260319,new_family_rerun,807,807,0.573729863692689,0.19578686493184635,0.1771995043370508,57.372986369268894,19.578686493184634,17.71995043370508,0.9
qwen_scale_version,qwen,3,2025-07-28,"Qwen3 30B A3B 2507 (OpenRouter, 2025-07-28)",new_equiv_only_20260319,new_family_rerun,807,807,0.5811648079306072,0.15117719950433706,0.218091697645601,58.116480793060724,15.117719950433706,21.8091697645601,0.9
qwen_scale_version,qwen,4,2025-09-09,Qwen3 Next 80B (OpenRouter),existing_4842_hybrid,existing_latest_endpoint,807,807,0.6517967781908303,0.20074349442379183,0.10532837670384139,65.17967781908303,20.074349442379184,10.532837670384138,0.9
