subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.9851851851851853,0.020951312035156943,0.9679232804232805,0.04536333186183538,0.8412698412698413,0.08093681767607594,0.110988384057847,0.05154501153876821,0.26666666666666666,0.20548046676563256,1.0,0.0,0.9595959595959597,0.03779451905832266,1.0,0.0
ce,target_only,3,0.9518518518518518,0.022831162973959138,0.8959876543209878,0.042452017975695894,0.7777777777777777,0.022447834323382487,0.16839200093949735,0.02063572043968701,0.0,0.0,,,0.9595959595959597,0.03779451905832266,,
ce,verifier_only,3,1.0,0.0,1.0,0.0,1.0,0.0,0.010043612397940034,0.006048505972698287,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,1.0,0.0,1.0,0.0,0.7777777777777777,0.09072184232530289,0.18630055210504762,0.028284015616110766,0.21666666666666667,0.3064129385141706,0.851851851851852,0.013094570021973107,0.8425925925925927,0.013094570021973107,0.8148148148148149,0.026189140043946214
ie,target_only,3,1.0,0.0,1.0,0.0,0.7037037037037036,0.18885257457751053,0.18308014663010133,0.024110686152736614,0.0,0.0,,,0.8425925925925927,0.013094570021973107,,
ie,verifier_only,3,0.9814814814814815,0.026189140043946214,0.9914021164021164,0.012159243591832175,0.7037037037037037,0.05237828008789243,0.21459981063519898,0.013016779859130518,1.0,0.0,,,,,0.8148148148148149,0.026189140043946214
