subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.9136904761904763,0.005567942539842155,0.8773135999073084,0.015441199246047737,0.8444444444444446,0.04157397096415489,0.12266495835867168,0.01567007837660268,0.45,0.04082482904638629,1.0,0.0,0.9250000000000002,0.011785113019775802,1.0,0.0
ce,target_only,3,0.9151785714285715,0.0036450740219987642,0.879165066989868,0.016390126182468642,0.8777777777777778,0.01571348402636772,0.12041767732881863,0.008322596301998553,0.0,0.0,,,0.9250000000000002,0.011785113019775802,,
ce,verifier_only,3,0.8839285714285715,0.004821979686315338,0.7227237730925619,0.0311495278730748,0.7888888888888889,0.056655772373253185,0.18723618465740355,0.04082161326864902,1.0,0.0,,,,,1.0,0.0
ie,cross_model_fused,3,0.45714285714285713,0.0,0.610465367965368,0.0,0.6388888888888888,0.03928371006591927,0.2713115745411072,0.010925528056870285,0.8333333333333334,0.13123346456686352,0.8299319727891156,0.025453451610707074,0.7619047619047619,0.009620500424306781,0.8299319727891156,0.025453451610707074
ie,target_only,3,0.6761904761904761,0.01346870059402948,0.6081878306878307,0.00815881336639813,0.5555555555555557,0.039283710065919325,0.25323703829603855,0.015513409908547441,0.0,0.0,,,0.7619047619047619,0.009620500424306781,,
ie,verifier_only,3,0.44761904761904764,0.0356348322549899,0.6092219817219817,0.00982441878126003,0.6388888888888888,0.03928371006591927,0.2858461041716874,0.012180487601460644,1.0,0.0,,,,,0.8299319727891156,0.025453451610707074
