subset,variant,n_runs,auroc_mean,auroc_std,prauc_mean,prauc_std,accuracy_at_0_5_mean,accuracy_at_0_5_std,brier_mean,brier_std,lambda_mean,lambda_std,val_auroc_fused_mean,val_auroc_fused_std,probe_best_val_auroc_target_mean,probe_best_val_auroc_target_std,probe_best_val_auroc_verifier_mean,probe_best_val_auroc_verifier_std
ce,cross_model_fused,3,0.9360119047619048,0.007587826657132093,0.9153357354167283,0.012059349704029314,0.8444444444444446,0.01571348402636772,0.11324356123431834,0.010216122978584874,0.9166666666666666,0.08498365855987973,0.9111111111111111,0.007856742013183834,0.85,0.01178511301977575,0.9111111111111111,0.007856742013183834
ce,target_only,3,0.9464285714285715,0.012626906806902642,0.9212703340854601,0.020910912193856438,0.9111111111111111,0.01571348402636772,0.089788989654201,0.009155845678325532,0.0,0.0,,,0.85,0.01178511301977575,,
ce,verifier_only,3,0.9285714285714285,1.1102230246251565e-16,0.9005405337103148,0.013196651715501514,0.8333333333333334,0.02721655269759086,0.11731781202976665,0.011399758123739731,1.0,0.0,,,,,0.9111111111111111,0.007856742013183834
ie,cross_model_fused,3,0.6571428571428571,0.0,0.686388888888889,1.1102230246251565e-16,0.6666666666666666,0.0,0.24231600138143108,0.007430208997306394,0.03333333333333333,0.023570226039551587,0.7551020408163266,1.1102230246251565e-16,0.7414965986394558,0.009620500424306727,0.7278911564625851,0.019241000848613507
ie,target_only,3,0.6571428571428571,0.0,0.686388888888889,1.1102230246251565e-16,0.6666666666666666,0.0,0.24225083535150993,0.007419776493630715,0.0,0.0,,,0.7414965986394558,0.009620500424306727,,
ie,verifier_only,3,0.6571428571428571,0.0,0.638973063973064,0.028697514008982496,0.5833333333333334,0.06804138174397716,0.25044800717181565,0.006389938867898514,1.0,0.0,,,,,0.7278911564625851,0.019241000848613507
